,gene_symbols,n_cells,highly_variable,means,dispersions,dispersions_norm,highly_variable_nbatches,highly_variable_intersection,gene_ids
CFAP70,CFAP70,36760,True,0.05201395660627583,1.2350599630946812,5.867577,11,False,ENSG00000156042
WIF1,WIF1,47282,True,0.08986603090415049,1.3260103873574764,6.2039676,8,False,ENSG00000156076
KCNMA1,KCNMA1,39091,True,0.08507729864326033,1.1262422602793167,2.7646646,8,False,ENSG00000156113
BATF,BATF,47453,True,0.08743483655551475,1.1812493789995675,3.8076696,9,False,ENSG00000156127
CXCL13,CXCL13,587,True,0.001564625464926235,2.011421518375537,7.3836617,12,False,ENSG00000156234
TSPAN7,TSPAN7,39400,True,0.05861803194870384,1.3325909517817511,4.8599257,8,False,ENSG00000156298
RPGR,RPGR,67671,True,0.0894361695008448,1.0718803609470686,3.1042283,8,False,ENSG00000156313
PPP2R2B,PPP2R2B,9875,True,0.016637615231830896,1.1948653922971402,1.9565425,5,False,ENSG00000156475
MS4A1,MS4A1,5610,True,0.016663202338456782,2.0357540547157,9.747333,14,True,ENSG00000156738
FBXO32,FBXO32,59523,True,0.09737977859723068,1.0817414049115588,2.48471,7,False,ENSG00000156804
SST,SST,155,True,0.0004002536226726254,0.9434256320263135,6.184656,4,False,ENSG00000157005
NRG1,NRG1,22371,True,0.029535547951698698,1.141314850331522,2.1832993,5,False,ENSG00000157168
KIT,KIT,17228,True,0.03838564799881759,1.5365262549243293,6.7353616,13,False,ENSG00000157404
HYDIN,HYDIN,34307,True,0.05735733571529032,1.2745781764398774,8.078419,8,False,ENSG00000157423
TSC22D3,TSC22D3,312003,True,0.790323311370958,0.9507423646372107,1.9641912,5,False,ENSG00000157514
ERG,ERG,15683,True,0.021097381951463223,1.235410562401047,2.6246614,7,False,ENSG00000157554
SLC34A2,SLC34A2,122240,True,0.34169377467236023,1.554086088686701,7.673209,13,False,ENSG00000157765
DRC1,DRC1,25622,True,0.03744844203500537,1.1799202057965597,5.164768,5,False,ENSG00000157856
WDR66,WDR66,37471,True,0.05713817514031211,1.1686775233213749,5.599135,7,False,ENSG00000158023
DUSP2,DUSP2,109944,True,0.3384342705445274,1.3685343092477564,7.690335,12,False,ENSG00000158050
UBXN11,UBXN11,92188,True,0.12493926797847199,1.0022061722545765,2.8089292,5,False,ENSG00000158062
DZIP1L,DZIP1L,26618,True,0.029465405828804275,0.9901326812827469,2.0686502,5,False,ENSG00000158163
CD1A,CD1A,1018,True,0.002413126855093583,1.1581696862493278,2.271178,7,False,ENSG00000158477
CD1C,CD1C,4853,True,0.014446708835932267,1.4851630437977534,5.2230215,11,False,ENSG00000158481
DNAH3,DNAH3,24382,True,0.03502610648680506,1.074984084243569,4.159966,5,False,ENSG00000158486
CD1E,CD1E,3651,True,0.00915355010437332,1.4614387494650931,5.1380854,11,False,ENSG00000158488
NCF1,NCF1,69537,True,0.11372902873868843,1.2003053976857956,3.8177366,9,False,ENSG00000158517
ALAS2,ALAS2,286,True,0.0005591698581241335,1.414773037636399,3.029796,4,False,ENSG00000158578
NBL1,NBL1,90935,True,0.16838853665459433,1.2054596600221346,3.7127082,7,False,ENSG00000158747
CDA,CDA,14614,True,0.02609435283926397,1.2912780885063004,4.2045393,8,False,ENSG00000158825
ADAMTS4,ADAMTS4,9258,True,0.021012983751359883,1.4355023323868195,4.895335,7,False,ENSG00000158859
FCER1G,FCER1G,188598,True,0.8760420747463412,1.6211515116539739,9.404432,10,False,ENSG00000158869
STC1,STC1,14333,True,0.026673453031084864,1.391254065058657,7.1137195,8,False,ENSG00000159167
C1QC,C1QC,125961,True,0.5070455536099642,1.9877126296837755,11.138226,12,False,ENSG00000159189
RCAN1,RCAN1,49794,True,0.06832942486625902,1.0423095782708665,1.714345,6,False,ENSG00000159200
CBR3,CBR3,44307,True,0.0692727204455766,1.0244403475621835,1.976517,5,False,ENSG00000159231
ACTC1,ACTC1,302,True,0.0005808521382938647,1.2407256455982771,2.2297027,5,False,ENSG00000159251
SCUBE1,SCUBE1,1755,True,0.001986158270462021,1.1712697518678294,1.7119697,6,False,ENSG00000159307
PADI4,PADI4,2290,True,0.0040398801078659055,1.3511018940659876,2.7437315,8,False,ENSG00000159339
BTG2,BTG2,227826,True,0.5261147033911514,1.0642945476132408,3.0990806,8,False,ENSG00000159388
C1R,C1R,75511,True,0.16146246684272816,1.4145150787403276,7.2156534,12,False,ENSG00000159403
RGL4,RGL4,6606,True,0.013650988662449756,1.402024209161232,3.4628942,9,False,ENSG00000159496
CCDC17,CCDC17,39094,True,0.06818573294067629,1.32943492932473,9.042822,10,False,ENSG00000159588
SPON2,SPON2,63599,True,0.14354417319103718,1.3393870981127212,6.7409697,11,False,ENSG00000159674
TPPP3,TPPP3,95851,True,0.23881466324345405,1.7836434151483913,14.857203,14,True,ENSG00000159713
AGRP,AGRP,44771,True,0.07614130060355019,1.1221179849220868,3.4679916,6,False,ENSG00000159723
PIP,PIP,24773,True,0.051637333831032584,1.8075714803448066,12.458018,14,True,ENSG00000159763
TNFRSF13C,TNFRSF13C,4533,True,0.007864833784402109,1.4116572853743818,2.7302415,8,False,ENSG00000159958
PTGIR,PTGIR,10501,True,0.015260453739636439,1.198985140728302,2.0136123,5,False,ENSG00000160013
TFF3,TFF3,87515,True,0.230238635167651,2.1023423644999335,19.361084,14,True,ENSG00000160180
TFF1,TFF1,12523,True,0.032022088710947604,1.6348288329833924,9.952965,11,False,ENSG00000160182
RSPH1,RSPH1,55266,True,0.13442291009295443,1.929581775843891,19.891829,14,True,ENSG00000160188
ITGB2,ITGB2,149460,True,0.3600050172241743,1.1771267575804267,4.639902,6,False,ENSG00000160255
C21orf58,C21orf58,32844,True,0.04240324777409862,1.1300153137657583,3.7791512,6,False,ENSG00000160298
S100B,S100B,10161,True,0.024127524898116013,1.766620301096539,8.896366,14,True,ENSG00000160307
C9orf116,C9orf116,52879,True,0.11211184804706151,1.5959940620675188,14.797332,13,False,ENSG00000160345
CFAP157,CFAP157,37592,True,0.06607613704511837,1.3677268922655779,9.999135,11,False,ENSG00000160401
TMEM190,TMEM190,49680,True,0.13197840852286194,2.182681298872264,22.956879,14,True,ENSG00000160472
JAML,JAML,83907,True,0.15446298723954702,1.2755067234771769,5.28306,8,False,ENSG00000160593
CD3G,CD3G,28520,True,0.06840347130187517,1.5555834648526048,8.935469,13,False,ENSG00000160654
S100A1,S100A1,7600,True,0.013183441865800475,1.3101600278135326,4.0682273,8,False,ENSG00000160678
CXCR5,CXCR5,1956,True,0.0035891682383881384,1.4051858041417822,2.2755737,8,False,ENSG00000160683
FCRL3,FCRL3,3239,True,0.006090155145726773,1.3405601304091195,2.079311,7,False,ENSG00000160856
AZGP1,AZGP1,30742,True,0.0701172228935112,1.7362879597547773,15.713222,13,False,ENSG00000160862
FGFR4,FGFR4,4944,True,0.0069651663355857095,1.236075135296586,2.0142694,5,False,ENSG00000160867
SCGB3A1,SCGB3A1,226068,True,0.7730184851179819,2.3752092981831052,14.196747,14,True,ENSG00000161055
DMKN,DMKN,128328,True,0.210862746537078,1.0596804629583951,2.546857,7,False,ENSG00000161249
COX7A1,COX7A1,52510,True,0.08518425999531432,1.217024502214277,5.592224,11,False,ENSG00000161281
IKZF3,IKZF3,19083,True,0.0368521837768658,1.3809426857104012,4.9425826,11,False,ENSG00000161405
ITGA5,ITGA5,65484,True,0.09270912706498942,1.0981564616653787,2.038929,6,False,ENSG00000161638
CD300LG,CD300LG,5425,True,0.007684417632827041,1.1792851800038335,2.5133686,5,False,ENSG00000161649
AQP5,AQP5,128724,True,0.4995934473970167,1.301313482110547,4.79468,10,False,ENSG00000161798
GRASP,GRASP,34982,True,0.05142966866337292,1.2557721856806416,4.02122,9,False,ENSG00000161835
ASGR2,ASGR2,5146,True,0.009789160297082936,1.2896471758301593,2.6212826,8,False,ENSG00000161944
CCDC78,CCDC78,41133,True,0.07848889663908898,1.5176025670122992,12.265082,14,True,ENSG00000162004
ZG16B,ZG16B,65659,True,0.16196918094109627,1.3382045416690735,5.0637717,7,False,ENSG00000162078
PDZK1IP1,PDZK1IP1,77685,True,0.13268681319134756,1.0860497250367076,3.2187371,7,False,ENSG00000162366
TAL1,TAL1,5787,True,0.008077016672566953,1.3681989412506301,2.3134277,6,False,ENSG00000162367
BSND,BSND,605,True,0.0009924095965619594,0.9537805089806571,3.3475134,4,False,ENSG00000162399
RBP7,RBP7,49287,True,0.06880440709374264,1.1203478179035844,2.587498,6,False,ENSG00000162444
PDPN,PDPN,37580,True,0.058400352975387246,1.2128764489711703,4.0478435,10,False,ENSG00000162493
LAPTM5,LAPTM5,208097,True,0.7187907961454689,1.2963045249261982,8.287664,7,False,ENSG00000162511
UBXN10,UBXN10,28751,True,0.03720931100541064,1.0536025101085016,3.2998722,4,False,ENSG00000162543
CAMK2N1,CAMK2N1,13215,True,0.018747299501258974,1.2545782037021256,3.9691114,7,False,ENSG00000162545
ALPL,ALPL,66177,True,0.10975308866335376,1.116504835862162,4.4459963,7,False,ENSG00000162551
TTLL10,TTLL10,27970,True,0.036682402929880654,1.164980239375332,4.629552,5,False,ENSG00000162571
MXRA8,MXRA8,15588,True,0.02375022584223657,1.3283755088791853,3.131178,9,False,ENSG00000162576
C1orf87,C1orf87,17901,True,0.020729856811198797,1.0191380681184075,2.3193197,5,False,ENSG00000162598
NEXN,NEXN,23551,True,0.032267732813962446,1.2033253398535515,3.679025,9,False,ENSG00000162614
DNAJB4,DNAJB4,67426,True,0.09517232567042443,1.071847976129274,2.4361265,8,False,ENSG00000162616
ADGRL4,ADGRL4,18415,True,0.029525786025216428,1.3821057278689868,4.7226443,10,False,ENSG00000162618
GBP4,GBP4,61903,True,0.07977251423479292,1.0608449114176097,2.3100967,5,False,ENSG00000162654
GFI1,GFI1,4314,True,0.008412578852024668,1.3176362261405024,2.3300188,6,False,ENSG00000162676
VCAM1,VCAM1,8477,True,0.01650145397843398,1.57436205297441,5.851712,12,False,ENSG00000162692
NLRP3,NLRP3,26938,True,0.06612344398080111,1.43009384440157,5.4841866,11,False,ENSG00000162711
SLAMF6,SLAMF6,7209,True,0.011932538742436093,1.348353164074645,2.775627,7,False,ENSG00000162739
OLFML2B,OLFML2B,14073,True,0.02113579221770972,1.1474409820907823,2.2172947,5,False,ENSG00000162745
ATF3,ATF3,185358,True,0.4320266484720196,1.0877275081868452,3.0091403,8,False,ENSG00000162772
SPATA17,SPATA17,25009,True,0.031600385203394,1.0919163565209096,3.2764418,4,False,ENSG00000162814
IL24,IL24,841,True,0.0027371662022064687,1.4465304715659066,3.4499798,7,False,ENSG00000162892
FCMR,FCMR,26208,True,0.04217121401603848,1.1714498155076796,2.2895687,7,False,ENSG00000162894
PIGR,PIGR,171119,True,0.6290453777593185,1.6979186583930803,11.187538,12,False,ENSG00000162896
FRZB,FRZB,4540,True,0.006884443617760666,1.3555395663242353,2.9877408,6,False,ENSG00000162998
ACTG2,ACTG2,4769,True,0.01260962451337958,2.1291067772341807,12.65969,12,False,ENSG00000163017
CCDC74A,CCDC74A,31498,True,0.044296926770307006,1.1633794961629038,4.4553285,8,False,ENSG00000163040
SPATA18,SPATA18,36789,True,0.05137506990421002,1.055054573615354,4.2309923,7,False,ENSG00000163071
NOSTRIN,NOSTRIN,26101,True,0.03952747541787469,1.2226941936839713,3.4650712,7,False,ENSG00000163072
CFAP221,CFAP221,38296,True,0.04955417749781364,1.0483877869566203,4.088222,4,False,ENSG00000163075
HPGDS,HPGDS,28170,True,0.052909218805502194,1.5520855801304454,6.316456,10,False,ENSG00000163106
CTSS,CTSS,280911,True,0.8077525954693677,1.0902891554663483,3.0161285,6,False,ENSG00000163131
SPRR3,SPRR3,22046,True,0.07556893542754949,1.6842244521843692,14.213507,9,False,ENSG00000163209
SPRR2D,SPRR2D,5991,True,0.0142922359387124,1.4185705707028886,7.6732283,9,False,ENSG00000163216
ARHGAP25,ARHGAP25,34777,True,0.04878525743334237,1.148386613945941,2.3819807,6,False,ENSG00000163219
S100A9,S100A9,249162,True,1.1304183418835911,1.6795517754257685,7.88185,14,True,ENSG00000163220
S100A12,S100A12,27984,True,0.09779817156351024,2.014456477097999,14.64692,11,False,ENSG00000163221
NPPC,NPPC,18447,True,0.03245630918124146,1.1669449756797565,4.548269,5,False,ENSG00000163273
GPR155,GPR155,38022,True,0.04986845944288271,1.1376521798445627,2.8925083,5,False,ENSG00000163328
PBXIP1,PBXIP1,80604,True,0.11129943398419725,1.0507789138895494,2.1021461,7,False,ENSG00000163346
COL6A3,COL6A3,21678,True,0.04135068318148734,1.4350917823717726,5.2697396,12,False,ENSG00000163359
PROK2,PROK2,3677,True,0.008356479211447321,1.5078449451788052,3.653225,9,False,ENSG00000163421
FSTL1,FSTL1,51193,True,0.07913365857121235,1.2337499905609541,4.5959353,7,False,ENSG00000163430
LMOD1,LMOD1,6935,True,0.010298227787296254,1.401306203313341,3.8992643,11,False,ENSG00000163431
ELF3,ELF3,211499,True,0.7779701644342784,1.2273049399496203,4.1447997,7,False,ENSG00000163435
IGFBP7,IGFBP7,183681,True,0.4899243541676021,1.6956433003686329,11.201423,14,True,ENSG00000163453
NEK10,NEK10,27622,True,0.043081999296466604,1.2394338952553714,6.6235805,6,False,ENSG00000163491
EOMES,EOMES,5908,True,0.013199791012222016,1.4191242200444838,3.2530146,8,False,ENSG00000163508
TRAT1,TRAT1,10173,True,0.030281666623976272,1.5483317964646377,4.994568,13,False,ENSG00000163519
FBLN2,FBLN2,17928,True,0.031808824729637274,1.3202049651650296,3.9947655,9,False,ENSG00000163520
MNDA,MNDA,105364,True,0.23357929144958342,1.3939377989953237,5.444586,10,False,ENSG00000163563
PYHIN1,PYHIN1,20146,True,0.04714623021139458,1.4236351555734754,4.7319365,11,False,ENSG00000163564
EFHB,EFHB,22672,True,0.028446141118308458,1.0522070650137847,2.6151826,5,False,ENSG00000163576
CTLA4,CTLA4,4128,True,0.009305255879742513,1.4548695304023453,3.538207,11,False,ENSG00000163599
ICOS,ICOS,13885,True,0.027040563833060048,1.3168080712513766,3.1702607,7,False,ENSG00000163600
CADPS,CADPS,1477,True,0.00290468202124304,1.3276297018210859,2.2252512,5,False,ENSG00000163618
ADAMTS9,ADAMTS9,20051,True,0.033579992338665154,1.2810047462395537,3.6155658,7,False,ENSG00000163638
PTX3,PTX3,19833,True,0.04213499037569839,1.5128037220346557,7.5000787,12,False,ENSG00000163661
DNASE1L3,DNASE1L3,10530,True,0.0192238861935842,1.5663501778927567,5.424928,12,False,ENSG00000163687
PCOLCE2,PCOLCE2,57099,True,0.10409021833017053,1.0478561271356317,1.6717105,5,False,ENSG00000163710
CXCL3,CXCL3,147517,True,0.511295480434746,1.571835582480816,8.373448,14,True,ENSG00000163734
CXCL5,CXCL5,28899,True,0.07684260048629502,1.4809240459723458,8.168504,11,False,ENSG00000163735
PPBP,PPBP,2440,True,0.005690976515073015,1.9066075223324874,6.3754086,11,False,ENSG00000163736
PF4,PF4,940,True,0.001496358978605765,1.316016257176678,1.7788851,5,False,ENSG00000163737
CXCL1,CXCL1,106599,True,0.43634577246071327,1.8122499943337191,15.266967,14,True,ENSG00000163739
CPA3,CPA3,9135,True,0.034800293060161226,2.466591040406539,17.169525,13,False,ENSG00000163751
TM4SF18,TM4SF18,8340,True,0.013480940662921407,1.362925366502057,3.259836,9,False,ENSG00000163762
CCR1,CCR1,39105,True,0.05966756991828147,1.1792071983238668,2.6170764,5,False,ENSG00000163823
DNALI1,DNALI1,52705,True,0.08692466988796548,1.2362339360549217,8.844624,9,False,ENSG00000163879
CFAP100,CFAP100,22446,True,0.028164599717259937,1.0531210325060563,2.9832032,6,False,ENSG00000163885
S100P,S100P,126490,True,0.5096689014369568,1.4116420164473624,7.356233,12,False,ENSG00000163993
EMCN,EMCN,25321,True,0.04678809289625523,1.5055713695103028,6.0533137,11,False,ENSG00000164035
CAMP,CAMP,14733,True,0.023188133724969105,1.2127953960834688,2.8829408,5,False,ENSG00000164047
SPRY1,SPRY1,97947,True,0.14967883018233596,1.1324383503777744,3.9958384,11,False,ENSG00000164056
HMGB2,HMGB2,178579,True,0.36950992251640963,1.040405261614614,2.919074,6,False,ENSG00000164104
HPGD,HPGD,134925,True,0.27604622266777146,1.2276112853881682,4.8081264,10,False,ENSG00000164120
FAM198B,FAM198B,21725,True,0.031011656400666204,1.163530650798283,2.5914366,7,False,ENSG00000164125
HHIP,HHIP,39210,True,0.07548722923547688,1.2940031967440149,3.849819,8,False,ENSG00000164161
PRMT9,PRMT9,52578,True,0.08144972999915145,1.094429382383913,2.138823,5,False,ENSG00000164169
SCGB3A2,SCGB3A2,68896,True,0.22154942172634612,2.2671156658597544,12.809751,11,False,ENSG00000164265
SPINK1,SPINK1,3197,True,0.010312136931177896,1.5305990505213107,5.3898344,10,False,ENSG00000164266
ESM1,ESM1,2071,True,0.003681322428829283,1.4000073690265775,3.464043,8,False,ENSG00000164283
CDC20B,CDC20B,3666,True,0.006680294012526365,1.6313142763915036,8.84589,10,False,ENSG00000164287
EBF1,EBF1,10940,True,0.013285799161234313,1.2299722936527127,1.9393338,5,False,ENSG00000164330
CSF2,CSF2,8946,True,0.010866432136914921,1.47865363247535,2.922163,7,False,ENSG00000164400
SAMD3,SAMD3,14613,True,0.03347395498789855,1.4211660512839785,3.9570718,11,False,ENSG00000164483
IL22RA2,IL22RA2,114,True,0.0002609194021104388,1.1227559085915007,1.9610517,5,False,ENSG00000164485
PI16,PI16,8679,True,0.017442157592707848,1.6267480812414934,4.9507837,9,False,ENSG00000164530
STK17A,STK17A,141325,True,0.262223342657452,1.03353532786503,2.6683598,6,False,ENSG00000164543
PTTG1,PTTG1,61083,True,0.11493191516880268,1.1503935302883328,3.9800136,11,False,ENSG00000164611
SYTL3,SYTL3,60878,True,0.12523653455491607,1.2404986279103656,4.771473,10,False,ENSG00000164674
IQUB,IQUB,18783,True,0.0216899631886237,1.0877985480412076,2.1345854,5,False,ENSG00000164675
HEY1,HEY1,49545,True,0.07509611820252853,1.2208223839610652,4.2149854,9,False,ENSG00000164683
FABP5,FABP5,316456,True,1.2342306424978435,1.1417427364165982,3.1818657,9,False,ENSG00000164687
TAGAP,TAGAP,51168,True,0.09807027114300444,1.2738895467512588,4.356847,11,False,ENSG00000164691
COL1A2,COL1A2,25574,True,0.07310845791160846,2.1389079145058094,13.457643,12,False,ENSG00000164692
SOX17,SOX17,11479,True,0.020280682107663293,1.395628728750649,4.211038,10,False,ENSG00000164736
DLC1,DLC1,75949,True,0.11488327111971548,1.1880066277895103,2.7956526,8,False,ENSG00000164741
DEFB1,DEFB1,84863,True,0.18930156707049975,1.1835119531512437,5.6807547,9,False,ENSG00000164825
GPR146,GPR146,21222,True,0.030711717851462282,1.1662969497852462,2.6236463,6,False,ENSG00000164849
CA3,CA3,5480,True,0.007574315447077032,1.2850610646966012,2.3438373,5,False,ENSG00000164879
CTHRC1,CTHRC1,7461,True,0.011762170817832606,1.3708621046926397,3.369223,9,False,ENSG00000164932
GEM,GEM,32952,True,0.0524424087805558,1.2446286891485463,4.7807345,10,False,ENSG00000164949
TMEM67,TMEM67,40352,True,0.05084342939055859,1.0919756747294866,3.0945914,4,False,ENSG00000164953
C9orf24,C9orf24,60227,True,0.1643477157522419,2.1147813288242814,22.313896,14,True,ENSG00000164972
ABCA1,ABCA1,54695,True,0.08101313993306825,1.0687639954157044,2.6462846,7,False,ENSG00000165029
TMEM71,TMEM71,23290,True,0.036415332431575485,1.1561412899443455,2.0987222,7,False,ENSG00000165071
MAMDC2,MAMDC2,10420,True,0.013309840072839713,1.2052440610385478,2.4067233,5,False,ENSG00000165072
SVEP1,SVEP1,7907,True,0.01020622713915094,1.1346000974473063,1.7001181,5,False,ENSG00000165124
FBP1,FBP1,186907,True,0.5274661759332462,1.1937216856262156,2.866923,8,False,ENSG00000165140
CYBB,CYBB,105954,True,0.22973389584716472,1.295375619687844,4.5193696,9,False,ENSG00000165168
CLDN3,CLDN3,79974,True,0.13313250250312997,1.1887211773789654,5.632416,9,False,ENSG00000165215
AQP3,AQP3,291511,True,1.1727686021915813,0.9737458598980032,1.2320255,5,False,ENSG00000165272
ARMC3,ARMC3,29862,True,0.046007131660738824,1.250038026207226,6.3380384,8,False,ENSG00000165309
OTUD1,OTUD1,84237,True,0.12205325114604862,1.032227255560705,1.9837267,5,False,ENSG00000165312
FOLR2,FOLR2,13328,True,0.022781405325864586,1.3027591252582464,3.267204,9,False,ENSG00000165457
C10orf10,C10orf10,48482,True,0.11705215222843822,1.5863144729135297,8.424498,12,False,ENSG00000165507
SLC18A2,SLC18A2,5275,True,0.014669112321142078,1.7283108844544266,6.2683525,12,False,ENSG00000165646
CLEC1B,CLEC1B,116,True,0.00015735316894016922,1.2771982919200349,1.7675658,5,False,ENSG00000165682
C9orf9,C9orf9,41555,True,0.05261026051459198,1.0366610614030558,3.1631482,5,False,ENSG00000165698
NDRG2,NDRG2,111781,True,0.18707631607481687,1.0488568301476475,2.0890267,6,False,ENSG00000165795
BTNL9,BTNL9,25803,True,0.04054831639971761,1.3658785767576063,4.630573,7,False,ENSG00000165810
IFI27,IFI27,220025,True,0.715198559775132,1.626614585506855,8.07219,12,False,ENSG00000165949
ARL5B,ARL5B,80110,True,0.12591193702711934,1.0293826252306992,1.6337225,5,False,ENSG00000165997
HTRA1,HTRA1,44937,True,0.06051360251341319,1.0750781827333655,2.7571507,8,False,ENSG00000166033
JAM3,JAM3,18366,True,0.02151385011632143,1.1387922808564643,2.0512443,6,False,ENSG00000166086
FBN1,FBN1,21490,True,0.03574702276173799,1.2850166227370405,3.9618573,5,False,ENSG00000166147
CKB,CKB,147820,True,0.27375819189684086,1.123161123804134,3.4596815,8,False,ENSG00000166165
DPCD,DPCD,70083,True,0.09500710801738783,1.0294352574112806,2.4066634,5,False,ENSG00000166171
CYYR1,CYYR1,20141,True,0.028244243806775315,1.2988841488874836,3.8173091,9,False,ENSG00000166265
PLEKHF1,PLEKHF1,31960,True,0.04829313383418541,1.0965588045392642,1.8277761,6,False,ENSG00000166289
TMEM100,TMEM100,35905,True,0.08167360193991614,1.4225933232217607,6.537162,10,False,ENSG00000166292
CYB5A,CYB5A,350125,True,0.9976825413775806,0.9897718936342859,1.401978,5,False,ENSG00000166347
PLD4,PLD4,5303,True,0.009699933121204924,1.3501503779246646,3.3284688,8,False,ENSG00000166428
MFAP4,MFAP4,22965,True,0.051963887173005895,1.7830317816786807,9.797891,12,False,ENSG00000166482
PRKCB,PRKCB,34603,True,0.06160250022931494,1.2769523439881265,4.497722,9,False,ENSG00000166501
CLEC4E,CLEC4E,52910,True,0.08976033521341893,1.3086466199906805,3.4542823,9,False,ENSG00000166523
CLEC4D,CLEC4D,6506,True,0.008876433368768826,1.2059171640512238,1.5842967,5,False,ENSG00000166527
RRAD,RRAD,59324,True,0.11020803953182254,1.38234192529402,11.231333,14,True,ENSG00000166592
CFAP52,CFAP52,26462,True,0.036630597036930924,1.137955863267418,4.661181,5,False,ENSG00000166596
MMP10,MMP10,55341,True,0.18278884932214873,1.7366990467580965,11.399501,11,False,ENSG00000166670
NNMT,NNMT,79761,True,0.19494576261621474,1.5282322374041504,8.732583,12,False,ENSG00000166741
KIAA0101,KIAA0101,23585,True,0.04864962192683053,1.2783442717103635,6.240911,10,False,ENSG00000166803
ANPEP,ANPEP,83741,True,0.1474029876592804,1.0437911415497467,2.6896818,10,False,ENSG00000166825
C15orf48,C15orf48,100261,True,0.31987806481552106,1.64818914952373,12.28492,14,True,ENSG00000166920
MS4A7,MS4A7,132973,True,0.4489716181001846,1.441249578564898,5.396943,9,False,ENSG00000166927
MS4A8,MS4A8,42495,True,0.07907949069146092,1.5207706870258146,11.354443,14,True,ENSG00000166959
MS4A15,MS4A15,8181,True,0.010352908473691608,1.1000411812693918,2.432228,5,False,ENSG00000166961
MAP1A,MAP1A,29546,True,0.03944925478921185,1.1265051040701166,4.3743873,4,False,ENSG00000166963
MEI1,MEI1,10867,True,0.021430012958611792,1.2874881395656939,3.103555,6,False,ENSG00000167077
IGF2,IGF2,8626,True,0.012144228886449207,1.2970165760457637,2.95184,9,False,ENSG00000167244
CD3D,CD3D,50190,True,0.15296063096485688,1.748792714352444,12.719606,13,False,ENSG00000167286
LPO,LPO,2390,True,0.0036592648664911373,1.3149663160425462,2.982977,6,False,ENSG00000167419
CA4,CA4,20940,True,0.050471695440771805,1.5527530873712825,6.0791855,9,False,ENSG00000167434
TUBA1A,TUBA1A,214715,True,0.47482935577298496,1.344179152749814,10.753862,9,False,ENSG00000167552
AXL,AXL,76674,True,0.107122708106919,1.0399698176504883,2.2224047,6,False,ENSG00000167601
NFKBID,NFKBID,58396,True,0.09906043925776394,1.1160936695313028,2.8152277,7,False,ENSG00000167604
LAIR1,LAIR1,102339,True,0.20617560771354498,1.1673696879560442,2.9578645,6,False,ENSG00000167613
LAIR2,LAIR2,27190,True,0.054535591431121286,1.5446520809808733,4.09357,11,False,ENSG00000167618
KIR3DL1,KIR3DL1,2181,True,0.004544242352012687,1.3189232141572664,2.448277,8,False,ENSG00000167633
PPP1R14A,PPP1R14A,20365,True,0.0445141774019883,1.7214218539993842,9.7786255,14,True,ENSG00000167641
C19orf33,C19orf33,174389,True,0.4533324357074762,1.032927994554145,1.9296492,5,False,ENSG00000167644
DNAAF3,DNAAF3,21761,True,0.026805209620980885,1.0845809470549064,3.1594384,4,False,ENSG00000167646
PSCA,PSCA,97703,True,0.4813102333446131,1.479069324112339,9.463093,10,False,ENSG00000167653
LY6D,LY6D,72692,True,0.2968791729881021,1.5378542136532418,6.8224835,10,False,ENSG00000167656
TMIGD2,TMIGD2,7055,True,0.015995489478488143,1.4782544648390534,4.246447,11,False,ENSG00000167664
SEMA6B,SEMA6B,19950,True,0.034483532700374,1.2036295763116551,2.7612908,6,False,ENSG00000167680
KLK6,KLK6,685,True,0.0015010462566974897,0.8180700251565723,3.289891,5,False,ENSG00000167755
KLK11,KLK11,84337,True,0.18186408753798863,1.3211456855143489,5.1525574,11,False,ENSG00000167757
KRT1,KRT1,1263,True,0.0036500951640715336,1.336260409226632,2.942997,7,False,ENSG00000167768
ANGPTL4,ANGPTL4,21251,True,0.036983948290432146,1.1712223194283766,3.0546184,8,False,ENSG00000167772
IGFBP6,IGFBP6,56320,True,0.15181291622422943,1.7942764335134782,12.589278,13,False,ENSG00000167779
CD300A,CD300A,40250,True,0.07439524957656653,1.1708310393580081,2.3970523,7,False,ENSG00000167851
TEKT1,TEKT1,31825,True,0.05183296715103374,1.3154733230197506,7.5233264,11,False,ENSG00000167858
KRT24,KRT24,6189,True,0.013637283236037056,1.108387292031309,6.9701777,6,False,ENSG00000167916
ABCA3,ABCA3,60651,True,0.1268207978871739,1.2274758192710498,3.3595972,7,False,ENSG00000167972
NLRC3,NLRC3,5695,True,0.008532026473854159,1.3737038498463392,3.190122,9,False,ENSG00000167984
SCARA5,SCARA5,9887,True,0.018430536040246446,1.2163275902647122,3.2596588,6,False,ENSG00000168079
PNOC,PNOC,1574,True,0.002683526060996446,1.383759162893904,2.3420944,6,False,ENSG00000168081
DDIT4,DDIT4,235684,True,0.6360940197447278,1.129958051847218,3.7070458,8,False,ENSG00000168209
PTGDR,PTGDR,9703,True,0.02115943283400823,1.442054663940036,3.73819,10,False,ENSG00000168229
FOXI1,FOXI1,867,True,0.0015455043896437026,1.259055675675275,5.6468644,5,False,ENSG00000168269
KIF5C,KIF5C,1883,True,0.003071698998252794,1.4162712357614617,3.3069928,6,False,ENSG00000168280
FAM107A,FAM107A,56543,True,0.09648297537821458,1.3950710890971056,8.336552,9,False,ENSG00000168309
CX3CR1,CX3CR1,10574,True,0.017604172594567074,1.3089928816047909,2.646178,9,False,ENSG00000168329
