Gene,AT1,AT2,Arterial EC,B cell lineage,Basal,Bronchial Vessel 1,Bronchial Vessel 2,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,KRT5- KRT17+ epithelial,Lymphatic EC,Macrophages,Mast cells,Megakaryocytes,Mesothelium,Monocytes,Neutrophilic,Non-T/B cells,Proliferating cells,Rare,Secretory,Smooth Muscle,Squamous,Submucosal Secretory,T cell lineage,Venous
ENSG00000012124,-3.157016e-05,-0.8783658,-3.899232e-05,-5.4580367e-05,0.13265699,-4.454928e-05,-3.7682268e-05,-0.42923957,0.0047537424,-2.8332634e-05,-0.12513483,-2.728246e-05,-2.220022e-05,1.4106547,0.4292617,-2.7596347e-05,-4.1781677e-05,-3.6011537e-05,-2.2317352e-05,-2.1663975e-05,-2.6143813e-05,-3.1367552e-05,0.10888375,-2.9916426e-05,-4.5301123e-05,-3.23344e-05,-0.6528381,-3.107466e-05
ENSG00000012171,-9.215952e-06,-82.0088,-9.8062e-06,-1.1952134e-05,80.87714,-9.323285e-06,-7.2973507e-06,-0.40042213,-0.84360653,-1.0568886e-05,-0.73507863,-8.809118e-06,-8.772506e-06,-0.00027437136,-0.041769747,-8.813081e-06,-1.28920465e-05,-1.052353e-05,-8.4336025e-06,-1.0415806e-05,-9.868429e-06,-8.920161e-06,3.402764,-8.081572e-06,-1.0251815e-05,-1.1408919e-05,-0.24975309,-8.001355e-06
ENSG00000012223,-2.2083696e-05,2.8900099,-2.289486e-05,-2.5504389e-05,2.9355323,-1.9801437e-05,-2.6477495e-05,0.37312183,-3.0032618,-2.19959e-05,-0.1320732,-2.8938586e-05,-2.9815214e-05,-3.2507946,-0.019074678,-2.8252016e-05,-3.0826726e-05,-3.7293292e-05,-2.414735e-05,-3.1669464e-05,-2.859217e-05,-2.8584973e-05,0.2949525,-3.1544765e-05,-3.134733e-05,-2.7867492e-05,-0.08787837,-3.559865e-05
ENSG00000012779,1.274416e-06,-0.6514933,3.471113e-06,-8.262474e-06,-3.801513,2.361524e-06,1.8222074e-06,4.7737727,-0.37308964,-3.1058878e-06,-0.10113499,-9.560328e-06,-1.3720226e-06,0.5013541,0.6707168,-7.0254214e-06,-2.8676689e-06,-7.0752576e-06,1.8615946e-06,-7.522041e-06,-2.1553751e-06,5.347091e-06,1.7572987,-3.8226394e-06,-3.6854167e-06,-3.6167132e-06,-2.7758567,-8.512693e-06
ENSG00000013588,-1.7829143e-05,-32.324554,-3.1555064e-05,-1.0918017e-05,-12.075807,-2.2452747e-05,-1.5735222e-05,-1.0451605,-18.926601,-1.9209565e-05,-0.47988302,-1.5230696e-06,-7.946722e-06,-2.3149574,-0.3769552,-6.3435155e-06,-2.163497e-05,-1.6731705e-05,3.7232026e-06,-1.2459664e-05,1.4505213e-07,-1.4984893e-05,69.00168,-4.828652e-06,-2.0845976e-06,-1.0038033e-05,-1.4575421,-4.0826017e-06
ENSG00000013725,-1.1690347e-06,0.096485056,-1.380041e-06,-2.1715318e-06,-1.8444797,-1.152741e-06,-1.4035036e-06,0.13425787,-0.0017378513,-1.3679085e-06,-0.2146397,-1.3927329e-06,-1.1963103e-06,-2.0465329,-0.40634188,-1.6835237e-06,-1.607563e-06,-1.4857095e-06,-1.3449843e-06,-1.5632952e-06,-1.2752798e-06,-1.0833577e-06,-0.888576,-1.0475871e-06,-1.8338794e-06,-1.4977227e-06,5.1715903,-1.5090519e-06
ENSG00000015285,1.3230837e-05,-1.28462,2.1861257e-05,3.782528e-05,-0.7404101,1.2833606e-05,1.6024764e-05,-0.7989569,-0.15990362,1.7609527e-05,-0.39812326,2.5944519e-05,1.6735772e-05,1.0516615,0.08614193,2.0206558e-05,1.8791432e-05,2.3251752e-05,1.5226252e-05,2.3456969e-05,1.634289e-05,1.3954338e-05,0.044711303,1.5284671e-05,1.9316609e-05,1.7713735e-05,2.1991394,1.626905e-05
ENSG00000016602,-1.8162411e-06,-0.14148661,-6.5229665e-06,-9.825052e-07,152.6142,-1.4222393e-06,-2.1219555e-06,-0.021450255,-0.9791318,-2.1831338e-06,0.0016583266,-3.370864e-08,-5.3880203e-06,-1.6314926,-0.34182662,-3.8285375e-06,-2.0968462e-06,-1.7566314e-06,-5.74844e-09,-1.7049427e-08,-2.0172076e-06,-4.4842996e-06,-149.29727,-3.7482255e-06,-4.3896034e-06,-1.4963956e-06,-0.20313041,-7.107188e-06
ENSG00000017427,-0.00016981631,-15.080999,-0.00021414775,-0.00024653258,-3.1700008,-0.00015682995,-0.00016342741,-0.45780736,-0.2412592,-0.00017587758,6.869477,-0.0001685136,-0.00017292274,-0.40128556,-0.02542437,-0.00016262659,-0.00017147987,-0.00012587004,-0.00022160096,-0.00016555765,-0.000124237,-0.00024983624,16.318464,-0.00015753553,-0.00014887821,-0.00013159362,-3.8078985,-0.00013882767
ENSG00000018280,-3.0124309e-05,-5.71713,-5.3215637e-05,-6.476794e-05,-4.6799784,-3.18309e-05,-3.383221e-05,2.8141906,-0.69869435,-3.462097e-05,-2.3905919,-3.9768747e-05,-6.0415638e-05,8.279293,2.254897,-3.665386e-05,-3.3391243e-05,-3.7444803e-05,-3.3130797e-05,-4.2118907e-05,-3.5618297e-05,-4.2394382e-05,2.3914247,-2.5772402e-05,-4.201806e-05,-3.0852225e-05,-2.2526593,-4.197098e-05
