gene_symbols,AT1,AT2,Arterial EC,B cell lineage,Basal,Bronchial Vessel 1,Bronchial Vessel 2,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,KRT5- KRT17+ epithelial,Lymphatic EC,Macrophages,Mast cells,Megakaryocytes,Mesothelium,Monocytes,Neutrophilic,Non-T/B cells,Proliferating cells,Rare,Secretory,Smooth Muscle,Squamous,Submucosal Secretory,T cell lineage,Venous
PTX3,2.3787527e-06,-1.5068783,2.4405292e-06,6.640222e-06,-0.16608831,2.2137926e-06,4.414157e-06,1.8504483,-0.0507419,4.929563e-06,-1.2356356,6.569317e-06,1.5118101e-06,1.1675099,0.27415264,4.7487333e-06,4.445837e-06,5.570885e-06,4.2501065e-06,4.222116e-06,3.3276515e-06,1.9090103e-06,-0.31511143,2.82557e-06,2.9549549e-06,3.9695606e-06,-0.017728234,3.3537212e-06
DNASE1L3,8.5855456e-05,-0.3060578,0.00010632412,0.00013785009,-0.7909631,7.088883e-05,7.97408e-05,-3.2560723,-0.00020411797,7.48092e-05,0.05281835,0.00011820419,8.6026e-05,1.436102,-0.046978038,9.468621e-05,0.00014313214,8.527102e-05,7.87529e-05,0.0001084307,8.39912e-05,6.950991e-05,-0.043659363,8.42342e-05,0.00010471382,7.185592e-05,2.9532676,6.130942e-05
PCOLCE2,-2.3744684e-05,-12.097396,-2.2339069e-05,-1.11399095e-05,-0.64445454,-1.8377279e-05,-1.8289184e-05,-31.98307,-3.8613422,-2.3771616e-05,18.744421,-2.6556047e-05,-2.2882961e-05,42.261124,0.21158312,-2.153463e-05,-2.4953039e-05,-2.0078163e-05,-1.8742314e-05,-1.3847601e-05,-2.761436e-05,-2.8102453e-05,-4.4843416,-2.8337e-05,-2.8023163e-05,-2.2697952e-05,-8.146102,-1.9146824e-05
CXCL3,-2.4492774e-05,14.457461,5.707762e-06,-2.8080487e-05,23.008429,-1.5721533e-05,-1.47148985e-05,57.88429,7.0376472,-2.6271193e-06,14.712461,-1.35674345e-05,-9.2210377e-07,-136.13838,-7.981552,-3.1125953e-07,-2.8850694e-05,-2.106396e-05,-2.1394415e-05,-2.3088642e-06,-3.666448e-05,-1.4804964e-06,-19.016296,-9.0198716e-07,6.986604e-06,-1.041225e-05,46.036144,9.099822e-07
CXCL5,1.8984529e-05,-2.4228954,1.960895e-05,1.4534886e-05,11.401358,1.6215654e-05,1.7025563e-05,21.206282,1.9122216,2.188526e-05,7.559731,2.5618367e-05,2.1258615e-05,-46.62532,-0.2498225,1.72369e-05,2.0148034e-05,1.6755841e-05,1.542937e-05,1.2929493e-05,2.401072e-05,2.2197879e-05,-3.920806,1.5468288e-05,1.9223704e-05,1.5458732e-05,11.138899,1.64523e-05
PPBP,2.6183777e-06,-0.36387068,3.0610947e-06,4.4087687e-06,0.46018562,2.5027937e-06,2.7937715e-06,0.24044159,0.79498607,3.9595902e-06,-0.31839532,3.9459783e-06,3.867261e-06,-1.3446203,-0.058304477,2.8465988e-06,3.542553e-06,3.1200257e-06,2.2213947e-06,2.7778904e-06,4.020515e-06,2.9890934e-06,-0.64174527,2.2240292e-06,3.697786e-06,2.9081818e-06,1.2312627,2.8266222e-06
PF4,1.5034012e-06,0.18329243,1.8240743e-06,1.6294088e-06,-0.07915355,1.2905149e-06,1.5213634e-06,0.16115601,0.67009723,1.6449477e-06,-0.038649578,1.6223752e-06,1.5121354e-06,-0.11152602,-0.00096758537,1.5032488e-06,2.2394806e-06,2.2274646e-06,1.3650865e-06,1.6925894e-06,1.8950614e-06,2.0637256e-06,-0.8369386,2.0508717e-06,2.26993e-06,1.4152986e-06,0.052656934,1.5812193e-06
CXCL1,-0.00011385059,-5.871941,-0.00018084896,-0.00021881457,-106.38089,-9.874216e-05,-0.000109618944,8.969532,-15.850839,-0.00013452061,6.1053414,-0.00010546802,-0.00018008564,25.603697,-2.1728063,-0.00011788192,-0.00011603124,-0.00012599566,-9.4103554e-05,-0.00011519291,-0.00013297511,-0.00013602166,13.543137,-9.016296e-05,-0.0001386752,-9.296769e-05,76.0572,-0.00012928483
CPA3,-0.00013074283,3.764798,-0.000113291106,-0.00023161851,7.3281856,-0.00010436126,-0.00015118663,34.42144,4.9935994,-0.000108704735,5.415543,-0.00015196102,-0.00017194221,61.15352,-192.22246,-0.000109739616,-0.00014697929,-0.00011349702,-0.00019740975,-0.00012844727,-0.00013915719,-0.00011347131,6.80414,-6.144159e-05,-0.00011746937,-0.00013805472,68.34377,-9.931684e-05
TM4SF18,-1.6724049e-05,1.5062296,-1.8175688e-05,-3.108886e-05,3.712082,-1.3493103e-05,-1.2781913e-05,-21.711998,-0.090454504,-1.2981868e-05,-0.20117716,-1.247071e-05,-1.5149217e-05,8.404821,-0.24216515,-1.4962379e-05,-1.5573503e-05,-2.1524198e-05,-1.2676003e-05,-1.4175472e-05,-1.2007216e-05,-1.3211809e-05,0.06373582,-1.4819083e-05,-1.4648976e-05,-1.1156737e-05,8.559216,-1.529341e-05
